zip	city	state_id	population
21771	Mount Airy	MD	31366
21773	Myersville	MD	5404
21774	New Market	MD	13618
21776	New Windsor	MD	6137
21777	Point Of Rocks	MD	2067
21778	Rocky Ridge	MD	930
21779	Rohrersville	MD	1712
21780	Sabillasville	MD	1864
21781	Saint James	MD	128
21782	Sharpsburg	MD	4348
21783	Smithsburg	MD	9637
21784	Sykesville	MD	36484
21787	Taneytown	MD	10194
21788	Thurmont	MD	12241
21790	Tuscarora	MD	104
21791	Union Bridge	MD	5080
21793	Walkersville	MD	10477
21794	West Friendship	MD	2191
21795	Williamsport	MD	9150
21797	Woodbine	MD	8558
21798	Woodsboro	MD	2412
21801	Salisbury	MD	30122
21804	Salisbury	MD	39842
21810	Allen	MD	656
21811	Berlin	MD	24356
21813	Bishopville	MD	2636
21814	Bivalve	MD	274
21817	Crisfield	MD	4247
21821	Deal Island	MD	834
21822	Eden	MD	1527
21824	Ewell	MD	181
21826	Fruitland	MD	5317
21829	Girdletree	MD	397
21830	Hebron	MD	4790
21835	Linkwood	MD	207
21837	Mardela Springs	MD	3322
21838	Marion Station	MD	1805
21840	Nanticoke	MD	353
21841	Newark	MD	1455
21842	Ocean City	MD	10525
21849	Parsonsburg	MD	3659
21850	Pittsville	MD	3442
21851	Pocomoke City	MD	7237
21853	Princess Anne	MD	11437
21856	Quantico	MD	957
21861	Sharptown	MD	687
21862	Showell	MD	86
21863	Snow Hill	MD	4578
21864	Stockton	MD	643
21865	Tyaskin	MD	433
21866	Tylerton	MD	80
21867	Upper Fairmount	MD	23
21869	Vienna	MD	1155
21871	Westover	MD	2031
21872	Whaleyville	MD	585
21874	Willards	MD	1917
21875	Delmar	MD	7084
21890	Westover	MD	3272
21901	North East	MD	17694
21902	Perry Point	MD	262
21903	Perryville	MD	5794
21904	Port Deposit	MD	6484
21911	Rising Sun	MD	11103
21912	Warwick	MD	1520
21913	Cecilton	MD	901
21914	Charlestown	MD	804
21915	Chesapeake City	MD	2739
21917	Colora	MD	2017
21918	Conowingo	MD	4321
21919	Earleville	MD	2905
21920	Elk Mills	MD	953
21921	Elkton	MD	45225
21930	Georgetown	MD	120
